site_no,station_nm,dec_lat_va,dec_long_va
072632996,"Lk Maumelle Raw Water Intake nr Natural Steps,AR",34.85194444,-92.4891667
07362591,"Alum Fork Saline River at Winona Dam at Reform, AR",34.79777778,-92.8455556
11173200,ARROYO HONDO NR SAN JOSE CA,37.46160337,-121.769397
11273400,SAN JOAQUIN R AB MERCED R NR NEWMAN CA,37.3472151,-120.9761777
11312676,MIDDLE R AT MIDDLE RIVER CA,37.94226944,-121.5337
11313405,OLD R A BACON ISLAND CA,37.96992306,-121.572174
11336600,DELTA CROSS CHANNEL NR WALNUT GROVE,38.2447222,-121.5052778
11336790,LITTLE POTATO SLOUGH A TERMINOUS CA,38.09638889,-121.496111
11337190,SAN JOAQUIN R A JERSEY POINT CA,38.0521424,-121.6888428
11447650,SACRAMENTO R A FREEPORT CA,38.45566389,-121.5016167
11447890,SACRAMENTO R AB DELTA CROSS CHANNEL CA,38.25769218,-121.5182865
11448750,SF SCOTTS C NR LAKEPORT CA,39.04027778,-122.9833056
11448800,SCOTTS C BL SF SCOTTS C NR LAKEPORT CA,39.04194444,-122.9808333
11449235,CLOVER C BYPASS A ELK MTN RD NR UPPER LAKE CA,39.17577778,-122.9028889
11449255,SCOTTS C AB STATE ROUTE 29 A UPPER LAKE CA,39.1576361,-122.9207333
11449370,MOLESWORTH C NR CLEARLAKE CA,38.93894444,-122.6288889
11449500,KELSEY C NR KELSEYVILLE CA,38.92739984,-122.8436046
11449820,COLE C A KELSEYVILLE CA,38.97932778,-122.8305778
11451800,CACHE C A RUMSEY CA,38.8898988,-122.2383082
11452500,CACHE C A YOLO CA,38.727126,-121.8071874
11452800,CACHE C OVERFLOW WEIR FROM SETTLING BAS NR WOOD'LD,38.68268185,-121.6730164
11452900,CACHE C OUTFLOW FROM SETTLING BASIN NR WOODLAND CA,38.67851526,-121.6727386
11453590,POPE C A WALTER SPRINGS CA,38.6469722,-122.365825
11455140,TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA,38.34916667,-121.6447222
11455142,SACRAMENTO R DEEP WATER SHIP CHANNEL NR COURTLAND,38.34166667,-121.6438889
11455276,SHAG SLOUGH A LIBERTY ISLAND NR COURTLAND CA,38.3078583,-121.6924278
11455315,CACHE SLOUGH A S LIBERTY ISLAND NR RIO VISTA CA,38.2430111,-121.684286
11455338,SACRAMENTO R DEEP WATER SHIP CHANNEL MARKER 51 CA,38.23739167,-121.6739556
11455385,CACHE SLOUGH AB RYER ISLAND FERRY NR RIO VISTA CA,38.19395556,-121.6580028
11455478,SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA,38.093252,-121.7371772
11455508,SUISUN BAY A VAN SICKLE ISLAND NR PITTSBURG CA,38.04953056,-121.88755
374938122251801,SAN FRANCISCO BAY A NE SHORE ALCATRAZ ISLAND CA,37.8272222,-122.4216667
380631122032201,GRIZZLY BAY A SUISUN SLOUGH NR AVON CA,38.10853056,-122.0559806
380924121301901,STATEN ISLAND NR TERMINOUS CA,38.15665,-121.5051889
381142122015801,FIRST MALLARD BRANCH NR FAIRFIELD CA,38.19489444,-122.0328139
383653122204601,MAXWELL C NR POPE VALLEY CA,38.61460278,-122.3459917
384115121402501,CACHE C OVERFLOW WEIR AT N ABUTMENT NR WOODLAND CA,38.6875,-121.673611
385725122532801,ADOBE C NR HIGHLAND SPRINGS CA,38.95701667,-122.8911167
385741122402101,CLEAR LK A MOORING LA-12 NR CLEARLAKE PARK CA,38.961425,-122.672636
385859122430101,CLEAR LK A MOORING LA-03 NR CLEARLAKE PARK CA,38.98299444,-122.716986
390005122441301,CLEAR LK A MOORING LA-11 NR BUCKINGHAM PARK CA,39.00130556,-122.7368778
390009122400201,HERMAN IMPOUNDMENT NR CLEARLAKE OAKS CA,39.00251389,-122.6671222
390010122401401,CLEAR LK A SULPHUR BANK MINE NR CLEARLAKE OAKS CA,39.00265278,-122.6705306
390015122394801,HERMAN IMPOUNDMENT CL23-01 NR CLEARLAKE OAKS CA,39.0041,-122.6634306
390015122395001,HERMAN IMPOUNDMENT CL23-06 NR CLEARLAKE OAKS CA,39.00405,-122.6638194
390021122400501,NORTH PIT NR ELEM RD NR CLEARLAKE OAKS CA,39.00578889,-122.6679694
390021122404001,CLEAR LK A MOORING OA-10 NR CLEARLAKE OAKS CA,39.00507778,-122.6773556
390029122410601,CLEAR LK A MOORING OA-09 NR CLEARLAKE OAKS CA,39.0058222,-122.6852528
390030122502101,KELSEY C AB SODA BAY RD BR NR KELSEYVILLE CA,39.0084,-122.8392167
390046122415601,CLEAR LK A MOORING OA-04 NR CLEARLAKE OAKS CA,39.01269444,-122.698986
390054122521501,ADOBE C A SODA BAY RD NR FINLEY CA,39.01506667,-122.8707722
390126122471701,CLEAR LK A MOORING UA-01 NR SODA BAY CA,39.02399444,-122.787986
390236122575901,SCOTTS C A SCOTTS C ROAD NR LAKEPORT CA,39.0433333,-122.9663889
390340122490101,CLEAR LK A MOORING UA-06 NR LUCERNE CA,39.06099444,-122.816986
390538122504901,CLEAR LK A MOORING UA-08 NR NICE CA,39.09399444,-122.846986
390544122574201,SCOTTS C AB EICKHOFF RD BRIDGE NR LAKEPORT CA,39.0956,-122.9616472
391057122544301,MIDDLE C A RANCHERIA RD BR NR UPPER LAKE CA,39.18255278,-122.9118417
391227122553101,MIDDLE C BL ELK MOUNTAIN RD BR NR UPPER LAKE CA,39.2075583,-122.9252444
391448122565601,MIDDLE C NR VANN CA,39.24679167,-122.9488889
09013900,"GRAND LAKE AT GRAND LAKE, CO.",40.2433333,-105.8130556
09014000,"GRAND LAKE OUTLET AT GRAND LAKE, CO.",40.24474444,-105.82615
09014050,"GRAND LAKE OUTLET BLW CHIPMUNK LN AT GRAND LK, CO",40.2461111,-105.8288333
09014500,"SHADOW MOUNTAIN LAKE NEAR GRAND LAKE, CO.",40.2100833,-105.8420833
09018500,"LAKE GRANBY NEAR GRANBY, CO.",40.1497222,-105.8649
09041395,"WOLFORD MTN RESERVOIR NR KREMMLING, CO",40.1127629,-106.4150324
382847107120401,"BLUE MESA RES WEST OF DRY GULCH NEAR SAPINERO, CO",38.47975,-107.2012222
382852107054801,BLUE MESA RESERVOIR IN IOLA BASIN NR GUNNISON CO,38.4807111,-107.0901806
400631105585501,"WINDY GAP RESERVOIR NR PUMP INTAKES NR GRANBY, CO",40.10841667,-105.9823611
400806105474700,"LAKE GRANBY (EAST) NEAR GRANBY, CO",40.135,-105.7963889
400853105563701,"WILLOW CREEK RESERVOIR NEAR DAM NEAR GRANBY, CO",40.14805556,-105.9436111
401030105521101,"LAKE GRANBY NR PUMP STATION INTAKE NR GRAND LK, CO",40.175,-105.8697222
401331105501401,"SHADOW MOUNTAIN LAKE NEAR MIDLAKE NEAR GRAND LK, C",40.22527778,-105.8372222
401428105481601,"GRAND LAKE NR ADAMS TUNNEL W. PORTAL, GRAND LK, CO",40.2411111,-105.8044444
01124149,W Thompson Lake at Old W Thompson Rd nr W Thompson,41.94747969,-71.9017145
01124151,"QUINEBAUG RIVER AT WEST THOMPSON, CT",41.94356667,-71.8995972
01125100,"FRENCH RIVER AT NORTH GROSVENORDALE, CT",41.97846389,-71.90051389
01127500,"YANTIC RIVER AT YANTIC, CT",41.55859526,-72.1214469
01127768,"THAMES R AT GROTON, CT.",41.34444444,-72.0886111
01184490,"BROAD BROOK AT BROAD BROOK, CT",41.9138972,-72.5497
01194750,"CONNECTICUT RIVER AT ESSEX, CT",41.3514833,-72.3843667
01194796,"CONNECTICUT RIVER AT OLD LYME, CT",41.31248747,-72.3459005
01196500,"QUINNIPIAC RIVER AT WALLINGFORD, CT",41.45026389,-72.841275
01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT",41.4658222,-73.40320278
01208837,"HOUSATONIC RIVER NR NELLS ISLAND NR STRATFORD, CT",41.1884333,-73.12125278
01208873,"ROOSTER RIVER AT FAIRFIELD, CT",41.1797146,-73.21898519
410502073236000,"NORWALK HARBOR AT THE COVE MARINA NR E NORWALK, CT",41.08395,-73.3999861
410606073245700,"NORWALK R AT MARITIME AQUARIUM NR S NORWALK, CT",41.10161944,-73.4159472
410613073215801,"SAUGATUCK RIVER LOWER EMBAYMENT NEAR SAUGATUCK, CT",41.103875,-73.3662167
410724073221001,"SAUGATUCK RIVER US RTE 136 NEAR SAUGATUCK, CT",41.12345278,-73.3694556
410729073171701,"MILL RIVER AT SOUTHPORT HARBOR NEAR SOUTHPORT, CT",41.12479167,-73.2882083
410757073165601,"MILL RIVER AT PEQUOT YACHT CLUB AT SOUTHPORT, CT",41.1325083,-73.2824833
411940071590300,"MYSTIC RIVER AT RAM ISLAND YACHT CLUB AT NOANK, CT",41.32768056,-71.9841611
412141071580200,"MYSTIC RIVER AT MYSTIC SEAPORT NEAR MYSTIC, CT",41.3614722,-71.96727778
415652071540801,"West Thompson Lake, Top Sample, nr W. Thompson, CT",41.94787545,-71.901739
415701071540801,"West Thompson Lake, Top at Boat Ramp nr W Thompson",41.9503754,-71.9017389
01651812,"ANACOSTIA RIVER AT ANACOSTIA PARK BOAT RAMP, DC",38.87991667,-76.9708333
02276998,ST LUCIE CANAL ABV S-80 NR STUART FL,27.10866667,-80.28725
02292900,"CALOOSAHATCHEE RIVER AT S-79, NR.OLGA, FLA",26.72173357,-81.6931806
13093383,"SNAKE RIVER AT PIGEON COVE NR TWIN FALLS, ID",42.6518222,-114.6287528
420446111183201,"BEAR LAKE 2.8 MI S OF N BEACH SP NR LIFTON, ID",42.07952778,-111.3087778
03303280,"OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN",37.89950088,-86.70554179
03378500,"WABASH RIVER AT NEW HARMONY, IN",38.130879,-87.941419
03277200,"OHIO RIVER AT MARKLAND DAM NEAR WARSAW, KY",38.77525,-84.97238889
300138090064700,"New Canal Lighthouse at New Orleans, LA",30.02716667,-90.1131667
011008745,"MERRIMACK R ESTUARY US OF SHAD CRK, SALISBURY, MA",42.8193,-70.839
423223070531001,DANVERS RIVER AT BEVERLY PIER AT BEVERLY MA,42.53975,-70.88615
482603092511801,"Ash River Boat Docks on Kabetogama Lake, MN",48.43416667,-92.855
06174500,Milk River at Nashua MT,48.13005278,-106.3643139
06177000,Missouri River near Wolf Point MT,48.067325,-105.5330972
12300110,Lake Koocanusa at international boundary,48.98963056,-115.1809694
383903118425301,WALKER LAKE 2 SOUTH NDOW,38.6508333,-118.7146944
384200118431901,WALKER LAKE 3 CENTER NDOW,38.7,-118.7218056
384506118433001,WALKER LAKE 4 NORTH NDOW,38.75169444,-118.725
384540118433001,WALKER LAKE NEAR MOUTH 1 USGS,38.76118889,-118.72505
01389005,Passaic River below Pompton Riv at Two Bridges NJ,40.89638889,-74.2691667
01400500,Raritan River at Manville NJ,40.55555556,-74.58277778
01402000,Millstone River at Blackwells Mills NJ,40.475,-74.5758333
01407639,Harvey Brook US Corlies Av at Allenhurst NJ,40.2375833,-74.008
01460595,Del & Rar Canal at Landing La at New Brunswick NJ,40.50777778,-74.4641667
401330074001201,Sunset Lake east of Heck St at Asbury Park NJ,40.22488889,-74.0033056
401336074002901,Sunset Lake outlet at Bond St at Asbury Park NJ,40.22655556,-74.00802778
401345074010601,Deal Lake at Sunset Ave at Asbury Park NJ,40.22930556,-74.0182222
401347074003501,Deal lake at Railroad Bridge at Asbury Park NJ,40.2296111,-74.00977778
401349074000601,Deal lake DS of Park Ave at Asbury Park NJ,40.23030556,-74.0015833
401350073594801,Atlantic Oc in Deal Lk surge chmbr at Asbury Pk NJ,40.2305,-73.99675
401350073595201,Deal Lake at Flume House at Asbury Park NJ,40.2305833,-73.9977222
401352074002701,Deal Lake 150 ft east of Main St at Interlaken NJ,40.23116667,-74.0075556
403859074555201,Spruce Run Res 3075 ft NW of dam at Clinton NJ,40.6499,-74.9312
01303152,WEST HARBOR AT OYSTER BAY NWR AT BAYVILLE NY,40.90355556,-73.5433611
01303380,OYSTER BAY HARBOR AT OYSTER BAY NY,40.87791667,-73.5301667
01304057,FLAX POND AT OLD FIELD NY,40.9628611,-73.1431667
01304650,SHELTER ISLAND SOUND AT SHELTER ISLAND NY,41.04430556,-72.3169722
01355475,MOHAWK RIVER AT REXFORD NY,42.8511111,-73.88725
0135749950,MOHAWK RIVER DIVERSION TO POWER PLANT AT COHOES NY,42.78569444,-73.7104167
01359165,HUDSON RIVER AT PORT OF ALBANY NY,42.61952778,-73.7589167
01372043,HUDSON RIVER NEAR POUGHKEEPSIE NY,41.72176015,-73.94069299
04236000,SKANEATELES LAKE AT SKANEATELES NY,42.94476667,-76.4291917
431314077315901,IRONDEQUOIT BAY AT POINT PLEASANT NY,43.22059167,-77.5332333
431533076582101,SODUS BAY AT SAND POINT NY,43.2593,-76.9724806
02102500,"CAPE FEAR RIVER AT LILLINGTON, NC",35.4061111,-78.8133333
02105769,"CAPE FEAR R AT LOCK 1 NR KELLY, NC",34.40444444,-78.2936111
03216070,"OHIO RIVER AT IRONTON, OH",38.53205556,-82.6859444
04193500,Maumee River at Waterville OH,41.5000526,-83.7127145
14158850,"MCKENZIE R BLW TRAIL BR DAM NR BELKNAP SPRINGS, OR",44.2679001,-122.0497826
14159500,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391
14162200,"BLUE RIVER AT BLUE RIVER, OR",44.16234819,-122.3331192
14162450,"QUARTZ CREEK NEAR FINN ROCK, OR",44.1233611,-122.3787222
14162500,"MCKENZIE RIVER NEAR VIDA, OR",44.1248487,-122.47062
14163000,"GATE CREEK AT VIDA, OR",44.1460861,-122.5730333
14163900,"MCKENZIE RIVER NEAR WALTERVILLE, OR",44.0698492,-122.7711874
14164550,"CAMP CRK AT CAMP CRK RD BRIDGE, NR SPRINGFIELD, OR",44.07066667,-122.8846667
14181500,"NORTH SANTIAM RIVER AT NIAGARA, OR",44.75377778,-122.2974444
14182500,"LITTLE NORTH SANTIAM RIVER NEAR MEHAMA, OR",44.7915108,-122.5789738
14183020,"NORTH SANTIAM RIVER BLW STOUT CREEK, NR MEHAMA, OR",44.7782222,-122.6777222
14202650,"WAPATO CREEK AT SW GASTON ROAD, AT GASTON, OR",45.44064167,-123.125
14203500,"TUALATIN RIVER NEAR DILLEY, OR",45.4748365,-123.124274
142063398,"BETHANY LAKE NEAR BETHANY, OR",45.55631389,-122.8737194
14207200,"TUALATIN RIVER AT OSWEGO DAM, NEAR WEST LINN, OR",45.35650877,-122.6850937
14210000,"CLACKAMAS RIVER AT ESTACADA, OR",45.29984346,-122.3539746
14211010,"CLACKAMAS RIVER NEAR OREGON CITY, OR",45.3792874,-122.5773134
14211720,"WILLAMETTE RIVER AT PORTLAND, OR",45.5175,-122.6691667
431946118493601,MALHEUR LAKE - MESOCOSM 1,43.32930556,-118.8265833
431946118493602,MALHEUR LAKE - MESOCOSM 2,43.32930556,-118.8265833
431946118493603,MALHEUR LAKE - MESOCOSM 3,43.32930556,-118.8265833
431946118493604,MALHEUR LAKE - MESOCOSM 4,43.32930556,-118.8265833
431946118493605,MALHEUR LAKE - MESOCOSM 5,43.32930556,-118.8265833
431946118493606,MALHEUR LAKE - MESOCOSM 6,43.32930556,-118.8265833
431946118493607,MALHEUR LAKE - MESOCOSM 7,43.32930556,-118.8265833
431946118493608,MALHEUR LAKE - MESOCOSM 8,43.32930556,-118.8265833
431946118493609,MALHEUR LAKE - MESOCOSM 9,43.32930556,-118.8265833
431946118493610,MALHEUR LAKE - MESOCOSM 10,43.32930556,-118.8265833
444306122144600,"DETROIT LAKE AT LOG BOOM BEHIND DETROIT DAM, OR",44.7183194,-122.2461389
452041119321500,"WILLOW LAKE MET STATION, AT HEPPNER, OR",45.34480556,-119.5374722
452731123092100,"SCOGGINS CREEK NEAR SW OLD HWY 47, NEAR GASTON, OR",45.4586111,-123.1559167
453027122400000,"WILLAMETTE RIVER BLW HOLGATE CHANNEL, PORTLAND, OR",45.50748056,-122.6666139
01427510,DELAWARE RIVER AT CALLICOON NY,41.75675,-75.0574167
014670261,Delaware River at Pennypack Woods PA,40.0385,-74.9936111
01467200,"Delaware River at Penn's Landing, Philadelphia, PA",39.946402,-75.1393603
294643095035200,"Lynchburg Res nr CWA Canal Inflow nr Baytown, TX",29.7785861,-95.0644278
295826095082200,"Lk Houston S Union Pacific RR Bridge nr Houston,TX",29.97393333,-95.1393833
415812111203901,Bear Lake 2.7 mi E of Bear Lake State Park Marina,41.9699083,-111.3440667
415941111175401,Bear Lake nr east shore 0.4 mi S of UT-ID border,41.99471667,-111.2984667
415955111212401,BEAR LAKE 0.13 MI S OF UT-ID BORDER NR FISH HAVEN,41.9985722,-111.3567167
1247351910,"COLUMBIA RIVER BLW JOHNSON IS NR RICHLAND, WA",46.3833387,-119.2643559
1247351985,"COLUMBIA RIVER AT HORN RAPIDS RD NR RICHLAND, WA",46.3512333,-119.2660444
12514450,"COLUMBIA RIVER ON ATON 49 AT KENNEWICK, WA",46.22110278,-119.1206056
04026005,"BOIS BRULE RIVER NEAR LAKE SUPERIOR, WI",46.70549328,-91.6021304
040260078,"BOIS BRULE ESTUARY NEAR PORT WING, WI",46.7461111,-91.6072222
04026160,"SISKIWIT RIVER AT CORNUCOPIA, WI",46.8547222,-91.0913889
04084422,"LITTLE LAKE BUTTE DES MORTS AT MENASHA, WI",44.2047082,-88.4687198
040844505,"FOX RIVER AT COLLEGE AVENUE BRIDGE AT APPLETON, WI",44.2610978,-88.3895513
04084500,"FOX R AT RAPIDE CROCHE DAM NEAR WRIGHTSTOWN, WI",44.3174889,-88.1973263
04085059,"FOX RIVER AT DE PERE, WI",44.44943598,-88.0645473
040851385,"FOX RIVER AT OIL TANK DEPOT AT GREEN BAY, WI",44.5286111,-88.01
05545750,"FOX RIVER NEAR NEW MUNSTER, WI",42.61085116,-88.225923
465130091060701,"LAKE SUPERIOR AT SISKIWIT HARBOR AT CORNUCOPIA, WI",46.85823889,-91.1018028
